Countries;31/12/2019;01/01/2020;02/01/2020;03/01/2020;04/01/2020;05/01/2020;06/01/2020;07/01/2020;08/01/2020;09/01/2020;10/01/2020;11/01/2020;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020;26/01/2020;27/01/2020;28/01/2020;29/01/2020;30/01/2020;31/01/2020;01/02/2020;02/02/2020;03/02/2020;04/02/2020;05/02/2020;06/02/2020;07/02/2020;08/02/2020;09/02/2020;10/02/2020;11/02/2020;12/02/2020;13/02/2020;14/02/2020;15/02/2020;16/02/2020;17/02/2020;18/02/2020;19/02/2020;20/02/2020;21/02/2020;22/02/2020;23/02/2020;24/02/2020;25/02/2020;26/02/2020;27/02/2020;28/02/2020;29/02/2020;01/03/2020;02/03/2020;03/03/2020;04/03/2020;05/03/2020;06/03/2020;07/03/2020;08/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;14/03/2020;15/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;21/03/2020;22/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;28/03/2020;29/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;04/04/2020;05/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;10/04/2020;11/04/2020;12/04/2020;13/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;18/04/2020;19/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;25/04/2020;26/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;01/05/2020;02/05/2020;03/05/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;08/05/2020;09/05/2020;10/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;16/05/2020;17/05/2020;18/05/2020;19/05/2020;20/05/2020;21/05/2020;22/05/2020;23/05/2020;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;31/05/2020;01/06/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;06/06/2020;07/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;13/06/2020;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;21/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;27/06/2020;28/06/2020;29/06/2020;30/06/2020;01/07/2020;02/07/2020;03/07/2020;04/07/2020;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020;12/07/2020;13/07/2020;14/07/2020;15/07/2020;16/07/2020;17/07/2020;18/07/2020;19/07/2020;20/07/2020;21/07/2020;22/07/2020;23/07/2020;24/07/2020;25/07/2020;26/07/2020;27/07/2020;28/07/2020;29/07/2020;30/07/2020;31/07/2020;01/08/2020;02/08/2020;03/08/2020;04/08/2020;05/08/2020;06/08/2020;07/08/2020;08/08/2020;09/08/2020;10/08/2020;11/08/2020;12/08/2020;13/08/2020;14/08/2020;15/08/2020;16/08/2020;17/08/2020;18/08/2020;19/08/2020;20/08/2020;21/08/2020;22/08/2020;23/08/2020;24/08/2020;25/08/2020;26/08/2020;27/08/2020;28/08/2020;29/08/2020;30/08/2020;31/08/2020;01/09/2020;02/09/2020;03/09/2020;04/09/2020;05/09/2020;06/09/2020;07/09/2020;08/09/2020;09/09/2020;10/09/2020;11/09/2020;12/09/2020;13/09/2020;14/09/2020;15/09/2020;16/09/2020;17/09/2020;18/09/2020;19/09/2020;20/09/2020;21/09/2020;22/09/2020;23/09/2020;24/09/2020;25/09/2020;26/09/2020;27/09/2020;28/09/2020;29/09/2020;30/09/2020;01/10/2020;02/10/2020;03/10/2020;04/10/2020;05/10/2020;06/10/2020;07/10/2020;08/10/2020;09/10/2020;10/10/2020;11/10/2020;12/10/2020;13/10/2020;14/10/2020;15/10/2020;16/10/2020;17/10/2020;18/10/2020;19/10/2020;20/10/2020;21/10/2020;22/10/2020;23/10/2020;24/10/2020;25/10/2020;26/10/2020;27/10/2020;28/10/2020;29/10/2020;30/10/2020;31/10/2020;01/11/2020;02/11/2020;03/11/2020;04/11/2020;05/11/2020;06/11/2020;07/11/2020;08/11/2020;09/11/2020;10/11/2020;11/11/2020;12/11/2020;13/11/2020
Kenya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;3;0;0;0;8;1;9;0;6;0;7;4;8;9;22;29;12;4;16;16;14;7;5;5;2;6;11;8;9;9;12;16;8;11;0;22;17;16;7;12;8;11;10;12;15;24;30;25;45;47;25;14;28;23;28;15;22;21;23;49;57;25;51;66;80;52;31;22;72;62;123;147;127;143;74;59;72;123;124;134;126;167;95;127;105;121;90;152;137;133;133;184;213;117;104;260;59;155;254;178;149;278;259;120;176;307;268;247;389;309;181;183;278;447;473;278;379;189;497;461;421;389;688;603;418;397;637;796;667;375;960;372;606;544;788;723;727;690;544;605;671;538;727;699;599;492;497;679;650;580;515;271;245;271;379;426;322;355;246;193;246;213;373;241;164;263;144;114;178;212;179;136;83;102;151;104;143;190;176;188;0;48;96;275;148;105;152;98;139;130;141;218;164;244;53;210;151;184;210;261;243;22;137;321;271;442;538;388;73;318;604;602;437;616;685;195;571;497;1068;631;947;931;276;836;1018;761;1185;1395;685;724;492;1494;1008;1109;1065;719;756;1344;0;0
Kosovo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;8;3;3;1;1;3;7;2;28;2;8;15;6;3;3;12;7;13;8;9;8;10;26;19;14;3;23;33;79;18;15;41;30;36;31;28;37;6;26;39;34;28;33;22;12;10;12;9;11;11;4;1;4;1;1;8;14;11;24;8;18;10;23;7;3;1;14;1;21;7;0;6;9;1;4;12;6;13;27;13;19;5;11;36;40;29;6;29;28;58;53;49;129;141;77;83;82;75;96;47;52;95;69;62;96;87;122;79;113;73;0;0;292;152;195;183;214;207;408;216;187;0;119;0;235;145;118;142;0;409;181;213;237;0;496;239;194;258;226;224;245;250;225;218;196;181;190;188;172;171;205;193;142;145;141;129;141;162;158;162;169;111;99;136;157;141;119;115;119;120;147;112;78;119;117;92;85;97;76;69;50;70;71;55;71;76;43;57;63;61;79;66;62;63;46;46;47;48;54;46;43;40;55;56;0;75;49;33;79;80;49;68;98;80;77;104;148;137;118;130;124;159;169;166;186;205;197;281;284;418;514;337;476;344;546;661;728;491;730;637;596;733;0
Kuwait;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;6;15;17;2;0;1;10;0;0;2;0;3;3;1;4;3;8;20;4;8;11;7;12;6;11;17;12;1;2;4;13;17;10;20;11;23;28;25;0;137;77;109;78;112;55;83;161;80;66;55;50;119;134;94;163;80;85;168;151;215;278;183;213;152;300;284;353;242;364;295;526;485;278;641;415;1065;598;991;751;947;885;942;1048;841;1073;804;1041;955;900;838;665;608;692;845;1072;1008;851;719;887;710;562;723;487;717;662;630;683;609;520;514;454;511;527;575;541;604;467;505;641;742;846;909;915;688;551;582;671;745;919;813;631;638;703;601;762;833;740;478;836;614;666;703;791;553;683;300;559;671;751;687;753;684;464;606;770;754;626;428;491;463;388;475;651;620;682;472;514;687;668;717;701;699;512;508;622;643;675;622;502;688;571;432;613;698;674;633;646;412;473;702;667;900;865;720;619;805;857;838;740;653;736;553;708;829;698;825;704;521;385;530;719;616;552;590;758;345;437;587;614;494;411;371;567;567;676;475;698;635;492;548;777;844;532;746;729;739;663;686;886;813;889;812;695;708;682;775;814;760;671;589;608;759;787;763;795;825;742;538;735;903;778;0
Kyrgyzstan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;8;0;2;26;2;0;14;26;0;0;23;5;13;19;0;72;12;42;10;18;41;38;42;11;19;17;23;17;48;14;22;22;19;25;9;17;13;13;21;17;0;23;26;35;13;28;24;11;25;71;14;21;7;38;29;6;21;78;27;27;43;37;14;39;30;35;52;74;68;60;26;69;28;26;28;37;38;33;25;23;38;36;37;41;78;87;100;90;95;132;192;170;205;163;207;228;250;309;235;269;279;439;0;1032;327;283;314;450;345;361;511;552;719;488;421;439;521;603;11505;1926;611;1108;1108;967;921;317;1249;483;548;748;631;582;494;420;410;412;569;549;503;425;332;258;278;304;0;310;304;483;135;155;0;179;378;0;186;237;119;113;101;128;125;108;78;60;78;99;92;89;87;48;75;87;71;0;144;53;47;0;144;81;91;91;81;55;71;88;127;175;158;161;104;167;147;172;215;128;244;207;164;0;298;520;307;0;306;641;330;388;431;470;0;1036;384;549;547;582;556;606;420;568;538;522;596;484;565;436;400;495;535;439;556;515;571;570;400;527;0
Laos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;3;0;1;0;0;0;1;1;0;3;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Latvia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;3;2;2;6;3;7;5;5;25;10;15;25;13;15;41;17;24;23;36;25;71;0;22;48;12;35;16;24;9;6;29;12;23;18;21;4;2;9;9;7;30;15;12;9;13;17;6;20;8;6;18;13;9;12;1;8;17;0;4;9;19;2;9;7;4;1;11;8;27;11;1;3;4;9;5;16;1;2;4;4;4;3;1;1;5;8;0;3;0;4;2;0;1;3;2;2;1;0;0;1;6;4;2;1;0;0;0;0;0;1;3;1;1;1;3;1;0;1;1;3;7;7;13;0;19;0;1;4;0;1;6;4;3;0;1;4;6;2;1;13;1;0;4;4;3;7;5;3;3;8;18;6;7;2;3;10;0;4;1;7;7;1;0;3;1;3;3;4;0;5;18;6;9;0;18;3;8;2;4;6;9;3;1;3;11;5;11;5;10;3;5;4;8;4;17;10;1;34;12;22;31;29;22;21;32;95;44;77;74;67;40;68;67;109;137;89;74;95;75;102;114;148;188;58;44;115;188;161;250;259;211;79;136;251;251;284;215;242;132;171;313;367;357;404;215;92;208;453;0
Lebanon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;6;3;0;0;3;6;0;10;9;0;20;5;0;27;6;21;0;13;16;14;67;18;19;37;29;35;23;21;26;8;17;16;15;0;26;7;14;7;27;7;27;10;11;2;9;17;5;5;4;1;4;0;5;6;8;8;3;3;7;4;4;4;4;4;3;1;9;34;12;13;36;14;11;8;8;5;11;9;20;23;7;63;62;11;17;5;21;21;7;4;19;29;13;9;14;50;6;8;11;19;18;20;14;20;20;4;18;9;16;6;15;26;51;16;19;22;18;35;22;21;5;33;10;8;34;25;18;12;22;39;65;71;86;166;85;32;91;57;101;75;84;46;75;124;156;147;175;168;132;141;182;129;221;175;155;177;0;355;255;279;272;294;295;309;292;298;334;397;439;456;0;1010;605;628;611;0;964;532;561;689;676;662;595;438;469;598;588;527;521;415;400;498;553;560;546;686;641;547;592;634;685;750;779;1006;684;865;940;1027;1143;1280;1012;1018;1105;1257;1248;1291;1321;988;1175;1261;1459;1367;1426;1388;0;2066;1245;1377;1499;1368;1171;1002;658;1392;1241;1450;1452;1427;1484;796;1809;1850;1933;1751;1699;1389;1080;1512;1888;2089;2142;1769;1139;1119;1552;1922;0
Lesotho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;3;4;0;3;0;0;8;0;0;0;44;12;0;0;43;0;50;49;0;12;11;0;55;48;0;0;0;0;0;0;60;27;59;0;71;28;0;98;16;0;8;0;16;0;0;0;39;0;17;17;69;19;43;0;0;0;50;19;0;0;0;34;2;0;0;0;15;19;0;0;0;63;0;0;0;16;0;0;81;0;0;0;0;82;0;0;63;34;0;0;0;83;51;0;0;7;11;19;44;41;0;0;3;0;0;103;14;0;5;0;0;28;0;0;0;0;0;0;85;0;5;11;6;3;4;0;0;0;0;0;6;8;2;0;4;0;0;0;59;0;0
Liberia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;1;3;3;1;0;17;0;6;11;2;9;0;0;14;3;5;10;8;2;0;0;16;3;4;9;8;0;0;11;2;4;8;4;8;11;10;0;0;12;1;1;2;4;4;3;3;4;5;2;9;6;10;0;1;0;3;4;7;8;8;15;5;5;13;11;14;11;13;14;13;11;25;12;40;11;0;33;39;20;25;24;2;10;19;3;45;39;2;10;24;15;14;36;5;17;26;9;31;6;35;12;14;0;32;14;15;3;3;16;1;6;3;18;20;7;5;10;2;2;5;3;18;7;2;5;3;6;4;3;3;10;2;0;0;5;0;20;5;0;2;1;1;0;4;5;3;0;0;6;0;0;1;0;1;0;0;1;4;0;2;2;0;1;3;2;6;5;1;1;1;0;1;0;1;1;0;0;1;3;1;0;0;3;1;1;6;0;1;5;0;3;0;8;0;1;2;3;0;0;4;3;1;0;8;0;0;23;3;0;7;0;0;0;10;0;2;2;2;0;0;10;9;0;0
Libya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;2;0;1;0;7;0;0;1;2;3;0;1;0;1;9;13;1;0;0;0;2;0;8;1;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3;1;2;1;3;0;0;2;22;6;13;12;26;12;14;14;0;43;17;0;14;62;46;15;16;9;0;49;0;0;33;10;10;24;27;68;0;59;0;15;49;0;62;34;33;27;71;0;57;136;0;86;74;47;44;79;51;26;63;52;87;75;94;128;88;138;111;122;0;280;0;190;205;0;399;70;372;0;161;251;604;0;153;309;388;373;748;277;411;0;841;0;489;395;244;414;316;572;272;553;440;355;329;465;543;658;532;617;672;649;655;1084;750;879;477;969;440;433;734;629;792;886;616;796;715;847;650;651;535;658;538;536;849;801;511;683;509;370;722;628;1031;1045;779;1076;318;1026;1109;1164;836;855;1169;0;945;1159;957;719;995;764;990;1639;1210;752;899;782;972;467;950;862;781;899;853;1004;595;1078;923;970;875;0
Liechtenstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;3;0;0;18;0;9;2;10;0;1;4;5;4;1;1;2;4;4;3;0;2;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;3;1;2;0;1;0;0;0;4;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;2;2;1;0;0;0;0;1;2;0;0;1;2;3;3;1;0;6;2;0;0;11;6;0;22;18;22;7;3;22;13;26;42;10;25;48;25;23;25;37;10;18;56;36;30;30;50;12;23;29;45;32;0
Lithuania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;3;5;3;8;8;15;21;36;38;36;30;65;25;59;36;90;0;49;48;68;122;0;40;32;37;32;43;44;54;9;8;0;21;58;90;59;28;24;20;28;12;0;16;12;11;-105;31;10;14;7;4;9;4;5;5;3;8;35;6;6;14;6;12;11;7;6;15;15;17;10;12;7;12;4;8;9;6;8;5;3;4;2;3;7;11;9;6;7;6;19;4;7;5;5;3;2;6;8;3;3;3;2;1;2;2;5;3;0;1;1;7;3;3;5;5;3;10;3;4;4;4;5;1;7;20;6;7;17;15;2;11;0;26;15;7;11;8;16;19;13;18;17;10;17;10;24;23;37;21;13;18;26;21;22;34;30;20;38;22;32;36;30;41;38;21;32;36;48;29;35;32;23;29;20;26;36;43;17;31;32;36;44;53;39;51;56;0;62;61;99;80;70;45;73;138;114;111;90;105;88;115;91;172;125;104;100;81;117;142;133;205;159;126;118;139;255;281;228;252;205;202;311;424;441;474;606;765;413;776;950;735;1001;895;837;897;639;999;1656;1972;1980;1056;1086;1421;0
Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;2;0;19;12;0;39;4;59;70;135;139;186;128;77;224;234;120;152;226;119;38;190;141;168;125;117;75;39;127;64;81;108;47;11;11;15;66;71;36;57;13;8;60;36;11;30;16;12;6;12;28;15;18;10;12;4;12;11;8;12;6;9;2;6;10;11;8;7;15;2;11;13;9;1;9;2;1;2;6;7;4;4;2;1;1;0;7;5;3;4;1;6;3;3;3;8;7;2;3;10;6;8;6;15;1;12;7;11;22;44;25;14;43;46;50;52;29;46;20;61;47;69;58;65;83;31;100;0;66;163;124;74;122;120;129;98;104;133;83;49;54;158;83;79;0;0;169;53;90;66;40;0;0;103;26;58;68;37;34;0;30;30;67;71;67;0;0;90;44;90;-1385;37;0;45;52;0;68;0;109;0;42;54;24;49;65;71;0;35;50;40;110;147;177;0;86;112;100;74;68;75;78;46;19;55;78;86;114;0;0;216;54;140;100;141;0;0;371;109;190;214;227;0;175;242;353;430;662;518;862;491;195;485;774;698;778;799;849;319;533;710;803;659;675;0;570;176;483;0
Madagascar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;14;2;0;4;1;4;9;7;2;8;5;6;6;1;5;8;8;0;9;0;4;0;2;2;1;6;0;4;0;0;0;0;1;2;0;4;0;0;4;3;0;14;0;9;0;11;0;0;2;15;6;20;18;8;45;21;18;4;45;34;43;0;79;15;44;26;44;42;60;13;55;19;63;49;18;51;26;42;44;24;41;27;22;20;18;27;61;25;40;60;93;44;84;63;42;93;83;73;60;76;89;100;109;216;0;522;222;101;209;361;435;289;213;263;262;484;378;382;200;104;395;614;219;360;125;429;395;414;213;431;120;405;255;132;235;327;304;182;214;164;116;115;80;125;121;81;103;59;123;65;80;64;59;50;75;73;79;38;104;95;52;20;94;66;83;81;82;50;33;83;85;104;45;68;20;12;34;68;0;100;49;33;20;63;31;24;30;36;28;63;29;31;46;39;36;29;12;30;33;21;22;26;16;8;28;0;0;0;56;0;0;0;0;0;0;158;0;0;0;0;0;0;0;143;0;0;0;0;102;0;10;0;0;0;0
Malawi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;3;0;0;1;3;1;3;0;0;0;1;0;0;0;1;5;10;0;0;1;2;0;0;1;0;1;1;2;0;2;0;0;13;0;1;1;5;0;0;2;5;0;1;1;0;10;1;0;18;0;0;102;70;6;5;52;22;11;24;16;0;29;5;12;0;26;0;48;18;9;8;8;20;28;0;110;73;45;93;19;45;33;108;78;41;77;60;96;115;129;76;59;52;55;85;192;103;66;67;117;98;98;97;85;53;104;153;84;67;0;187;69;0;149;123;97;108;45;42;74;79;65;84;49;34;15;39;40;160;76;38;46;0;121;47;0;42;40;0;97;4;51;22;27;5;8;30;10;3;14;15;3;3;7;9;23;2;14;9;12;7;4;0;10;5;0;15;2;4;9;1;14;2;5;2;2;1;6;4;0;3;8;2;7;6;4;8;0;3;3;2;7;6;10;5;3;1;3;10;11;2;3;4;3;7;12;7;7;2;1;1;0;6;2;6;3;2;0;2;0
Malaysia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;3;0;1;0;0;0;0;2;2;2;1;1;2;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;4;0;7;14;0;33;10;6;18;12;20;9;39;41;190;125;120;117;110;130;153;123;212;106;172;235;130;159;150;156;140;142;208;217;150;179;131;170;156;109;118;184;153;134;170;85;110;69;54;84;36;57;50;71;88;51;38;40;31;94;57;69;105;122;55;30;45;39;68;54;67;70;16;37;40;36;17;22;47;37;31;50;78;48;60;172;187;15;10;103;30;57;38;20;93;0;296;37;19;7;7;2;31;33;43;8;41;11;10;14;6;21;16;15;3;6;4;6;10;18;3;2;1;3;5;10;0;10;6;3;6;13;8;14;7;4;5;3;18;9;15;21;15;16;9;21;23;13;7;39;13;8;12;9;14;2;1;21;15;25;7;13;11;9;11;15;20;26;25;12;7;16;5;9;8;10;7;11;6;5;10;11;17;6;14;6;14;0;17;6;62;100;24;45;182;58;47;31;23;62;21;95;20;52;57;82;147;71;0;193;150;115;101;0;349;287;317;293;432;691;489;375;354;374;561;563;660;660;589;629;869;871;865;862;732;847;710;1228;823;1240;835;771;679;809;649;957;834;1054;1032;1009;1755;1168;852;972;869;822;0
Maldives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;4;6;17;17;16;0;25;18;9;77;0;31;32;191;23;28;8;24;22;44;25;2;146;45;62;7;51;27;49;47;16;12;37;43;30;58;29;68;24;43;19;56;78;81;101;56;12;9;22;11;18;2;13;26;20;14;27;10;22;30;29;26;17;13;37;16;14;21;23;16;6;22;18;13;25;21;18;10;25;33;23;10;16;36;64;47;67;31;39;30;68;14;17;36;0;78;59;0;17;132;50;67;137;61;152;74;156;215;129;153;148;86;89;129;143;116;66;143;128;78;107;106;124;170;146;145;194;96;119;133;135;178;104;140;109;89;141;195;137;141;80;125;98;83;74;93;66;90;62;121;70;85;99;67;74;81;75;46;48;67;54;75;31;53;59;37;97;63;44;67;65;37;54;35;86;66;51;35;49;50;69;51;41;24;32;22;39;45;42;33;30;84;27;35;24;25;27;16;42;36;59;26;71;39;30;24;23;21;29;0
Mali;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;5;9;0;0;10;8;3;2;4;2;9;3;0;28;18;11;7;21;4;23;19;26;8;22;12;35;16;16;45;19;19;16;58;8;18;36;19;17;32;19;19;18;24;12;8;18;28;21;27;29;25;14;27;30;16;22;46;15;29;18;39;78;32;24;15;50;36;0;110;24;38;10;14;39;81;55;30;24;33;51;25;5;16;17;10;28;0;17;23;6;32;79;29;26;8;21;58;25;18;27;1;17;10;0;46;2;5;1;11;10;7;27;5;3;0;2;17;0;9;0;7;3;7;1;1;13;0;6;2;0;3;6;9;4;2;6;4;5;15;0;17;0;26;26;1;0;21;11;6;3;5;4;13;6;21;16;3;1;25;5;7;19;9;28;12;16;11;3;4;8;11;5;26;0;25;15;7;11;6;4;7;23;16;6;4;0;28;13;25;14;14;5;6;15;25;13;25;13;10;0;56;16;0;11;0;28;4;17;12;4;28;18;9;16;15;0;15;0;0;28;0;36;24;24;19;0;30;0;0;0
